City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,62.62,54,0,23.02,CL,1668533358
1,champerico,14.3,-91.9167,91.94,72,11,4.03,GT,1668533399
2,carnarvon,-24.8667,113.6333,71.89,67,0,14.34,AU,1668533400
3,santiago del estero,-27.7951,-64.2615,93.31,21,30,14.56,AR,1668533400
4,kodiak,57.79,-152.4072,40.51,75,40,5.75,US,1668533249
5,kesinga,20.2,83.2333,61.79,65,0,2.53,IN,1668533401
6,yellowknife,62.456,-114.3525,25.32,86,100,23.02,CA,1668533244
7,kaitangata,-46.2817,169.8464,56.82,77,100,1.7,NZ,1668533402
8,thompson,55.7435,-97.8558,3.36,85,20,2.3,CA,1668533402
9,qaanaaq,77.484,-69.3632,-1.57,71,47,5.86,GL,1668533404
10,ixtapa,20.7,-105.2,76.23,69,0,6.91,MX,1668533405
11,coquimbo,-29.9533,-71.3436,64.13,72,75,14.97,CL,1668533130
12,geraldton,-28.7667,114.6,59.41,82,1,11.5,AU,1668533406
13,hithadhoo,-0.6,73.0833,81.48,77,97,14.47,MV,1668533406
14,chuy,-33.6971,-53.4616,76.5,38,16,18.52,UY,1668533407
15,hasaki,35.7333,140.8333,46.22,72,55,9.62,JP,1668533331
16,new norfolk,-42.7826,147.0587,45.9,81,100,3.0,AU,1668533408
17,longyearbyen,78.2186,15.6401,30.04,93,75,0.0,SJ,1668533408
18,buluang,13.3068,123.3425,76.15,93,25,3.94,PH,1668533409
19,husavik,66.0449,-17.3389,43.57,91,100,9.17,IS,1668533410
20,antalaha,-14.9003,50.2788,71.94,91,4,6.78,MG,1668533410
21,jamestown,42.097,-79.2353,36.99,61,100,17.27,US,1668533410
22,east london,-33.0153,27.9116,67.14,82,40,11.5,ZA,1668533411
23,tiksi,71.6872,128.8694,-16.44,97,100,8.28,RU,1668533412
24,tuktoyaktuk,69.4541,-133.0374,-2.2,84,40,3.44,CA,1668533412
25,kapaa,22.0752,-159.319,71.92,77,40,9.22,US,1668533413
26,muros,42.7762,-9.0603,57.09,89,72,14.94,ES,1668533413
27,winnemucca,40.973,-117.7357,28.45,69,0,16.11,US,1668533414
28,yulara,-25.2406,130.9889,72.9,33,100,9.17,AU,1668533414
29,saint-francois,46.4154,3.9054,54.84,94,100,3.44,FR,1668533415
30,atuona,-9.8,-139.0333,77.34,75,2,19.19,PF,1668533168
31,puerto colombia,10.9878,-74.9547,89.69,75,100,8.88,CO,1668533415
32,bangsund,64.3968,11.3949,40.91,60,0,17.27,NO,1668533416
33,rikitea,-23.1203,-134.9692,74.48,79,100,18.03,PF,1668533416
34,ulagan,50.6321,87.9563,20.88,81,51,4.92,RU,1668533417
35,syava,58.0146,46.3222,20.89,73,11,2.71,RU,1668533418
36,smithers,54.7804,-127.1743,26.92,86,100,4.61,CA,1668533418
37,awjilah,29.1081,21.2869,65.28,43,1,5.79,LY,1668533418
38,dinar,38.065,30.1656,46.36,39,82,3.56,TR,1668533419
39,puerto ayora,-0.7393,-90.3518,76.96,83,78,7.0,EC,1668533262
40,troitsk,54.0979,61.5773,17.51,78,100,13.51,RU,1668533420
41,cape town,-33.9258,18.4232,67.26,78,75,11.5,ZA,1668533420
42,ahipara,-35.1667,173.1667,62.1,93,63,3.36,NZ,1668533421
43,krasnyy chikoy,50.3643,108.7512,10.26,96,47,2.19,RU,1668533421
44,paita,-5.0892,-81.1144,71.26,68,78,13.76,PE,1668533410
45,bambous virieux,-20.3428,57.7575,71.85,64,40,6.91,MU,1668533422
46,howard springs,-12.497,131.047,78.71,93,96,0.89,AU,1668533422
47,narsaq,60.9167,-46.05,32.22,97,100,0.89,GL,1668533423
48,saint-philippe,-21.3585,55.7679,71.19,65,38,11.72,RE,1668533423
49,constitucion,-35.3333,-72.4167,69.04,60,93,17.45,CL,1668533424
50,venezuela,8.0,-66.0,87.48,56,81,11.65,VE,1668533425
51,noumea,-22.2763,166.4572,66.18,83,0,4.85,NC,1668533425
52,vaini,-21.2,-175.2,69.96,100,20,2.3,TO,1668533164
53,jiaojiang,28.6803,121.4428,57.0,92,32,5.46,CN,1668533426
54,busselton,-33.65,115.3333,54.39,88,17,9.08,AU,1668533427
55,barrow,71.2906,-156.7887,24.82,86,100,32.21,US,1668533427
56,emba,48.8264,58.1442,23.86,73,96,19.69,KZ,1668533427
